p_id,lcz
1,6
2,6
3,6
4,6
5,6
6,8
7,6
8,8
9,12
11,3
13,3
15,6
18,6
21,6
23,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
35,6
37,6
38,3
39,6
40,3
41,3
45,3
48,8
49,8
50,6
51,6
52,6
53,8
54,6
55,6
56,6
57,6
59,6
60,6
61,8
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
74,6
75,6
76,8
79,6
80,6
82,6
83,8
84,6
85,6
86,6
88,6
89,6
90,6
91,6
92,6
93,9
94,9
95,8
96,6
97,6
98,6
99,6
100,6
101,6
102,6
104,6
105,6
106,6
107,6
108,6
109,6
110,3
111,3
112,6
113,12
114,6
117,6
118,6
119,6
120,1
121,3
124,3
125,3
128,3
129,6
132,6
143,6
171,8
173,6
175,6
176,6
177,6
179,6
180,6
181,6
183,6
184,6
185,6
188,1
190,8
192,8
193,8
200,14
300,12
400,14
500,8
600,14
1144,6
1182,8
1185,3
1197,6
1203,6
1215,6
1218,6
1219,6
1229,3
1230,6
1238,6
1258,8
1269,6
1360,6
1381,6
